,Point_1,Point_2,Point_3,Point_4,Point_5,Point_6,Point_7,Point_8,Point_9,Point_10,Point_11,Point_12,Point_13,Point_14,Point_15,Point_16,Point_17,Point_18,Point_19,Point_20,Point_21,Point_22,Point_23,Point_24,Point_25,Point_26,Point_27,Point_28,Point_29,Point_30,Point_31,Point_32,Point_33,Point_34,Point_35,Point_36,Point_37,Point_38,Point_39,Point_40,Point_41,Point_42,Point_43,Point_44,Point_45,Point_46,Point_47,Point_48,Point_49,Point_50,Point_51,Point_52,Point_53,Point_54,Point_55,Point_56,Point_57,Point_58,Point_59,Point_60,Point_61,Point_62,Point_63,Point_64,Point_65,Point_66,Point_67,Point_68,Point_69,Point_70,Point_71,Point_72,Point_73,Point_74,Point_75,Point_76,Point_77,Point_78,Point_79,Point_80,Point_81,Point_82,Point_83,Point_84,Point_85,Point_86,Point_87,Point_88,Point_89,Point_90,Point_91,Point_92,Point_93,Point_94,Point_95,Point_96,Point_97,Point_98,Point_99,Point_100,Point_101,Point_102,Point_103,Point_104,Point_105,Point_106,Point_107,Point_108,Point_109,Point_110,Point_111,Point_112,Point_113,Point_114,Point_115,Point_116,Point_117,Point_118,Point_119,Point_120,Point_121,Point_122,Point_123,Point_124,Point_125,Point_126,Point_127,Point_128,Point_129,Point_130,Point_131,Point_132,Point_133,Point_134,Point_135,Point_136,Point_137,Point_138,Point_139,Point_140,Point_141,Point_142,Point_143,Point_144,Point_145,Point_146,Point_147,Point_148,Point_149,Point_150,Point_151,Point_152,Point_153,Point_154,Point_155,Point_156,Point_157,Point_158,Point_159,Point_160,Point_161,Point_162,Point_163,Point_164,Point_165,Point_166,Point_167,Point_168,Point_169,Point_170,Point_171,Point_172,Point_173,Point_174,Point_175,Point_176,Point_177,Point_178,Point_179,Point_180,Point_181,Point_182,Point_183,Point_184,Point_185,Point_186,Point_187,Point_188,Point_189,Point_190,Point_191,Point_192,Point_193,Point_194,Point_195,Point_196,Point_197,Point_198,Point_199
Point_108,8.967,0.381,0.425,0.558,0.516,0.536,0.593,0.593,0.631,0.662,0.675,0.759,0.884,0.949,1.001,1.041,1.13,1.175,1.199,1.223,1.536,1.536,1.61,2.793,3.165,2.76,4.854,3.531,2.99,3.165,3.165,1.675,3.44,3.531,3.531,3.168,3.917,3.531,2.903,3.531,2.67,2.45,2.45,1.691,1.691,1.585,1.574,1.639,1.633,1.639,1.688,1.708,1.708,1.691,2.021,0.548,2.105,2.127,2.127,2.346,2.159,1.13,1.545,1.484,1.39,1.39,1.343,1.164,1.147,1.147,1.127,1.005,1.019,0.987,0.773,0.825,0.81,0.833,0.837,0.799,0.7,0.684,0.602,0.541,0.462,0.423,0.423,0.392,0.453,0.579,0.864,0.859,0.841,0.379,0.246,0.246,0.197,0.149,0.164,0.103,0.122,0.112,0.042,0.787,0.039,0.01,0.0,0.0,0.787,0.787,0.787,0.095,0.095,0.128,0.121,0.137,0.17,0.173,0.173,0.173,0.173,0.202,0.258,0.279,0.288,0.294,0.306,0.322,0.341,0.368,0.368,0.485,0.397,0.446,0.479,0.522,1.138,0.523,0.568,0.55,1.153,1.153,0.503,0.503,0.503,0.503,0.446,0.563,0.563,0.606,0.606,0.606,0.606,0.606,0.652,0.669,0.694,0.694,0.694,0.733,0.711,0.711,0.761,0.796,0.809,0.236,0.796,0.796,0.796,0.826,0.856,0.856,4.611,4.611,4.611,4.611,4.611,4.029,4.549,3.531,0.603,3.823,3.823,3.823,3.436,3.436,3.436,3.436,3.436,3.436,3.436,2.677,2.369,2.359,2.829,2.346,1.722,1.805,10.869
Point_109,8.931,0.345,0.389,0.522,0.48,0.5,0.557,0.557,0.595,0.626,0.639,0.723,0.798,0.862,0.914,0.954,1.043,1.089,1.112,1.136,1.45,1.45,1.523,2.707,3.078,2.673,4.819,3.444,2.903,3.078,3.078,1.588,3.353,3.444,3.444,3.081,3.83,3.444,2.816,3.444,2.583,2.363,2.363,1.72,1.72,1.498,1.487,1.552,1.546,1.552,1.602,1.621,1.621,1.72,1.935,0.512,2.018,2.041,2.041,2.311,2.072,1.043,1.458,1.397,1.303,1.303,1.256,1.077,1.06,1.06,1.04,0.918,0.932,0.9,0.855,0.907,0.892,0.915,0.919,0.897,0.797,0.781,0.699,0.638,0.559,0.521,0.521,0.49,0.551,0.677,0.8,0.795,0.777,0.476,0.344,0.344,0.294,0.247,0.262,0.201,0.219,0.209,0.14,0.0,0.116,0.083,0.098,0.098,0.0,0.0,0.0,0.06,0.06,0.092,0.085,0.101,0.134,0.137,0.137,0.137,0.137,0.166,0.223,0.243,0.252,0.258,0.27,0.286,0.305,0.332,0.332,0.45,0.361,0.41,0.443,0.486,1.103,0.487,0.533,0.514,1.117,1.117,0.467,0.467,0.467,0.467,0.41,0.528,0.528,0.57,0.57,0.57,0.57,0.57,0.616,0.633,0.658,0.658,0.658,0.698,0.675,0.675,0.725,0.76,0.773,0.2,0.76,0.76,0.76,0.79,0.82,0.82,4.525,4.525,4.525,4.525,4.525,3.943,4.463,3.444,0.568,3.736,3.736,3.736,3.349,3.349,3.349,3.349,3.349,3.349,3.349,2.59,2.333,2.324,2.742,2.311,1.687,1.769,10.833
Point_110,8.931,0.345,0.389,0.522,0.48,0.5,0.557,0.557,0.595,0.626,0.639,0.723,0.798,0.862,0.914,0.954,1.043,1.089,1.112,1.136,1.45,1.45,1.523,2.707,3.078,2.673,4.819,3.444,2.903,3.078,3.078,1.588,3.353,3.444,3.444,3.081,3.83,3.444,2.816,3.444,2.583,2.363,2.363,1.72,1.72,1.498,1.487,1.552,1.546,1.552,1.602,1.621,1.621,1.72,1.935,0.512,2.018,2.041,2.041,2.311,2.072,1.043,1.458,1.397,1.303,1.303,1.256,1.077,1.06,1.06,1.04,0.918,0.932,0.9,0.855,0.907,0.892,0.915,0.919,0.897,0.797,0.781,0.699,0.638,0.559,0.521,0.521,0.49,0.551,0.677,0.8,0.795,0.777,0.476,0.344,0.344,0.294,0.247,0.262,0.201,0.219,0.209,0.14,0.0,0.116,0.083,0.098,0.098,0.0,0.0,0.0,0.06,0.06,0.092,0.085,0.101,0.134,0.137,0.137,0.137,0.137,0.166,0.223,0.243,0.252,0.258,0.27,0.286,0.305,0.332,0.332,0.45,0.361,0.41,0.443,0.486,1.103,0.487,0.533,0.514,1.117,1.117,0.467,0.467,0.467,0.467,0.41,0.528,0.528,0.57,0.57,0.57,0.57,0.57,0.616,0.633,0.658,0.658,0.658,0.698,0.675,0.675,0.725,0.76,0.773,0.2,0.76,0.76,0.76,0.79,0.82,0.82,4.525,4.525,4.525,4.525,4.525,3.943,4.463,3.444,0.568,3.736,3.736,3.736,3.349,3.349,3.349,3.349,3.349,3.349,3.349,2.59,2.333,2.324,2.742,2.311,1.687,1.769,10.833
Point_111,8.931,0.345,0.389,0.522,0.48,0.5,0.557,0.557,0.595,0.626,0.639,0.723,0.798,0.862,0.914,0.954,1.043,1.089,1.112,1.136,1.45,1.45,1.523,2.707,3.078,2.673,4.819,3.444,2.903,3.078,3.078,1.588,3.353,3.444,3.444,3.081,3.83,3.444,2.816,3.444,2.583,2.363,2.363,1.72,1.72,1.498,1.487,1.552,1.546,1.552,1.602,1.621,1.621,1.72,1.935,0.512,2.018,2.041,2.041,2.311,2.072,1.043,1.458,1.397,1.303,1.303,1.256,1.077,1.06,1.06,1.04,0.918,0.932,0.9,0.855,0.907,0.892,0.915,0.919,0.897,0.797,0.781,0.699,0.638,0.559,0.521,0.521,0.49,0.551,0.677,0.8,0.795,0.777,0.476,0.344,0.344,0.294,0.247,0.262,0.201,0.219,0.209,0.14,0.0,0.116,0.083,0.098,0.098,0.0,0.0,0.0,0.06,0.06,0.092,0.085,0.101,0.134,0.137,0.137,0.137,0.137,0.166,0.223,0.243,0.252,0.258,0.27,0.286,0.305,0.332,0.332,0.45,0.361,0.41,0.443,0.486,1.103,0.487,0.533,0.514,1.117,1.117,0.467,0.467,0.467,0.467,0.41,0.528,0.528,0.57,0.57,0.57,0.57,0.57,0.616,0.633,0.658,0.658,0.658,0.698,0.675,0.675,0.725,0.76,0.773,0.2,0.76,0.76,0.76,0.79,0.82,0.82,4.525,4.525,4.525,4.525,4.525,3.943,4.463,3.444,0.568,3.736,3.736,3.736,3.349,3.349,3.349,3.349,3.349,3.349,3.349,2.59,2.333,2.324,2.742,2.311,1.687,1.769,10.833
Point_112,8.869,0.283,0.326,0.46,0.418,0.437,0.494,0.495,0.533,0.564,0.576,0.661,0.735,0.799,0.851,0.891,0.98,1.026,1.05,1.073,1.387,1.387,1.461,2.644,3.015,2.611,4.757,3.381,2.841,3.015,3.015,1.526,3.29,3.381,3.381,3.019,3.767,3.381,2.753,3.381,2.52,2.3,2.3,1.657,1.657,1.435,1.424,1.489,1.483,1.489,1.539,1.558,1.558,1.657,1.872,0.45,1.955,1.978,1.978,2.248,2.009,0.98,1.396,1.334,1.241,1.241,1.193,1.015,0.997,0.997,0.978,0.856,0.869,0.838,0.793,0.845,0.83,0.852,0.856,0.896,0.814,0.831,0.698,0.637,0.558,0.52,0.52,0.488,0.549,0.676,0.738,0.732,0.715,0.475,0.342,0.342,0.293,0.246,0.26,0.2,0.218,0.208,0.138,1.202,0.115,0.082,0.096,0.096,1.202,1.202,1.202,0.0,0.0,0.03,0.024,0.039,0.073,0.076,0.076,0.076,0.076,0.104,0.161,0.182,0.19,0.197,0.208,0.225,0.243,0.271,0.271,0.388,0.3,0.348,0.381,0.424,1.041,0.425,0.471,0.452,1.056,1.056,0.406,0.406,0.406,0.406,0.348,0.466,0.466,0.508,0.508,0.508,0.508,0.508,0.555,0.572,0.597,0.597,0.597,0.636,0.613,0.613,0.664,0.698,0.712,0.138,0.698,0.698,0.698,0.729,0.758,0.758,4.462,4.462,4.462,4.462,4.462,3.88,4.4,3.381,0.505,3.673,3.673,3.673,3.286,3.286,3.286,3.286,3.286,3.286,3.286,2.528,2.271,2.261,2.68,2.248,1.624,1.706,10.772
Point_113,8.869,0.283,0.326,0.46,0.418,0.437,0.494,0.495,0.533,0.564,0.576,0.661,0.735,0.799,0.851,0.891,0.98,1.026,1.05,1.073,1.387,1.387,1.461,2.644,3.015,2.611,4.757,3.381,2.841,3.015,3.015,1.526,3.29,3.381,3.381,3.019,3.767,3.381,2.753,3.381,2.52,2.3,2.3,1.657,1.657,1.435,1.424,1.489,1.483,1.489,1.539,1.558,1.558,1.657,1.872,0.45,1.955,1.978,1.978,2.248,2.009,0.98,1.396,1.334,1.241,1.241,1.193,1.015,0.997,0.997,0.978,0.856,0.869,0.838,0.793,0.845,0.83,0.852,0.856,0.896,0.814,0.831,0.698,0.637,0.558,0.52,0.52,0.488,0.549,0.676,0.738,0.732,0.715,0.475,0.342,0.342,0.293,0.246,0.26,0.2,0.218,0.208,0.138,1.202,0.115,0.082,0.096,0.096,1.202,1.202,1.202,0.0,0.0,0.03,0.024,0.039,0.073,0.076,0.076,0.076,0.076,0.104,0.161,0.182,0.19,0.197,0.208,0.225,0.243,0.271,0.271,0.388,0.3,0.348,0.381,0.424,1.041,0.425,0.471,0.452,1.056,1.056,0.406,0.406,0.406,0.406,0.348,0.466,0.466,0.508,0.508,0.508,0.508,0.508,0.555,0.572,0.597,0.597,0.597,0.636,0.613,0.613,0.664,0.698,0.712,0.138,0.698,0.698,0.698,0.729,0.758,0.758,4.462,4.462,4.462,4.462,4.462,3.88,4.4,3.381,0.505,3.673,3.673,3.673,3.286,3.286,3.286,3.286,3.286,3.286,3.286,2.528,2.271,2.261,2.68,2.248,1.624,1.706,10.772
Point_114,9.085,0.872,0.915,1.049,1.007,1.027,1.083,1.084,1.122,1.153,1.165,1.25,1.324,1.388,1.44,1.481,1.57,1.615,1.639,1.663,1.976,1.976,2.05,3.233,3.604,3.2,4.726,3.97,3.43,3.604,3.604,2.115,3.879,3.97,3.97,3.608,4.356,3.97,3.342,3.97,3.11,2.889,2.889,2.246,2.246,2.024,2.013,2.079,2.072,2.079,2.128,2.147,2.147,2.246,2.461,0.42,2.544,2.567,2.567,2.464,2.599,1.57,1.985,1.923,1.83,1.83,1.782,1.604,1.587,1.587,1.567,1.445,1.459,1.427,1.382,1.434,1.419,1.441,1.445,1.629,1.404,1.42,1.502,1.34,1.261,1.223,1.223,1.191,1.252,1.379,1.327,1.321,1.304,1.332,1.313,1.313,1.264,1.217,1.231,1.17,1.189,1.179,1.109,1.171,1.085,1.053,1.067,1.067,1.171,1.171,1.171,0.969,0.969,0.0,1.055,0.009,0.042,0.045,0.045,0.045,0.045,0.074,0.13,0.151,0.16,0.166,0.178,0.194,0.213,0.24,0.24,0.358,0.269,0.318,0.351,0.394,1.01,0.395,0.44,0.422,1.025,1.025,0.375,0.375,0.375,0.375,0.318,0.435,0.435,0.478,0.478,0.478,0.478,0.478,0.524,0.541,0.566,0.566,0.566,0.605,0.583,0.583,0.633,0.668,0.681,0.958,0.668,0.668,0.668,0.698,0.728,0.728,5.051,5.051,5.051,5.051,5.051,4.469,4.989,3.97,1.094,4.263,4.263,4.263,3.875,3.875,3.875,3.875,3.875,3.875,3.875,2.401,2.487,2.477,2.668,2.464,1.84,1.922,10.741
Point_115,9.092,0.879,0.922,1.056,1.014,1.033,1.09,1.091,1.129,1.16,1.172,1.257,1.331,1.395,1.447,1.487,1.576,1.622,1.646,1.669,1.983,1.983,2.057,3.24,3.611,3.207,4.733,3.977,3.437,3.611,3.611,2.122,3.886,3.977,3.977,3.615,4.363,3.977,3.349,3.977,3.116,2.896,2.896,2.253,2.253,2.031,2.02,2.085,2.079,2.085,2.135,2.154,2.154,2.253,2.468,0.427,2.551,2.574,2.574,2.471,2.606,1.576,1.992,1.93,1.837,1.837,1.789,1.611,1.593,1.593,1.574,1.452,1.465,1.434,1.389,1.441,1.426,1.448,1.452,1.636,1.41,1.427,1.509,1.347,1.268,1.23,1.23,1.198,1.259,1.386,1.334,1.328,1.311,1.339,1.32,1.32,1.271,1.223,1.238,1.177,1.195,1.186,1.116,1.178,1.092,1.06,1.074,1.074,1.178,1.178,1.178,0.975,0.975,0.007,0.0,0.016,0.049,0.052,0.052,0.052,0.052,0.08,0.137,0.158,0.167,0.173,0.185,0.201,0.22,0.247,0.247,0.364,0.276,0.325,0.358,0.401,1.017,0.402,0.447,0.428,1.032,1.032,0.382,0.382,0.382,0.382,0.325,0.442,0.442,0.485,0.485,0.485,0.485,0.485,0.531,0.548,0.573,0.573,0.573,0.612,0.589,0.589,0.64,0.675,0.688,0.965,0.675,0.675,0.675,0.705,0.735,0.735,5.058,5.058,5.058,5.058,5.058,4.476,4.996,3.977,1.101,4.269,4.269,4.269,3.882,3.882,3.882,3.882,3.882,3.882,3.882,2.408,2.494,2.484,2.675,2.471,1.847,1.929,10.748
Point_116,9.076,0.863,0.907,1.04,0.998,1.018,1.075,1.075,1.113,1.144,1.157,1.241,1.315,1.38,1.431,1.472,1.561,1.606,1.63,1.654,1.967,1.967,2.041,3.224,3.596,3.191,4.718,3.962,3.421,3.596,3.596,2.106,3.871,3.962,3.962,3.599,4.348,3.962,3.334,3.962,3.101,2.881,2.881,2.238,2.238,2.015,2.005,2.07,2.064,2.07,2.119,2.139,2.139,2.238,2.452,0.411,2.536,2.558,2.558,2.455,2.59,1.561,1.976,1.915,1.821,1.821,1.774,1.595,1.578,1.578,1.558,1.436,1.45,1.418,1.373,1.425,1.41,1.432,1.436,1.62,1.395,1.411,1.493,1.331,1.252,1.214,1.214,1.183,1.244,1.37,1.318,1.312,1.295,1.323,1.304,1.304,1.255,1.208,1.222,1.162,1.18,1.17,1.1,1.163,1.077,1.044,1.058,1.058,1.163,1.163,1.163,0.96,0.96,1.053,1.046,0.0,0.034,0.036,0.036,0.036,0.036,0.065,0.122,0.142,0.151,0.157,0.169,0.185,0.204,0.231,0.231,0.349,0.261,0.309,0.342,0.385,1.002,0.386,0.432,0.413,1.016,1.016,0.366,0.366,0.366,0.366,0.309,0.427,0.427,0.469,0.469,0.469,0.469,0.469,0.515,0.532,0.557,0.557,0.557,0.597,0.574,0.574,0.624,0.659,0.672,0.95,0.659,0.659,0.659,0.689,0.719,0.719,5.042,5.042,5.042,5.042,5.042,4.46,4.98,3.962,1.085,4.254,4.254,4.254,3.867,3.867,3.867,3.867,3.867,3.867,3.867,2.392,2.478,2.468,2.659,2.455,1.831,1.914,10.732
Point_117,9.042,0.829,0.873,1.007,0.965,0.984,1.041,1.042,1.079,1.11,1.123,1.208,1.282,1.346,1.398,1.438,1.527,1.573,1.596,1.62,1.934,1.934,2.008,3.191,3.562,3.157,4.684,3.928,3.388,3.562,3.562,2.073,3.837,3.928,3.928,3.565,4.314,3.928,3.3,3.928,3.067,2.847,2.847,2.204,2.204,1.982,1.971,2.036,2.03,2.036,2.086,2.105,2.105,2.204,2.419,0.377,2.502,2.525,2.525,2.422,2.556,1.527,1.943,1.881,1.787,1.787,1.74,1.562,1.544,1.544,1.525,1.402,1.416,1.384,1.339,1.391,1.376,1.399,1.403,1.587,1.361,1.377,1.459,1.298,1.219,1.18,1.18,1.149,1.21,1.336,1.284,1.279,1.261,1.29,1.271,1.271,1.222,1.174,1.189,1.128,1.146,1.137,1.067,1.129,1.043,1.01,1.025,1.025,1.129,1.129,1.129,0.926,0.926,1.019,1.012,1.028,0.0,0.003,0.003,0.003,0.003,0.031,0.088,0.109,0.117,0.124,0.135,0.152,0.17,0.198,0.198,0.315,0.227,0.275,0.308,0.352,0.968,0.352,0.398,0.379,0.983,0.983,0.333,0.333,0.333,0.333,0.275,0.393,0.393,0.436,0.436,0.436,0.436,0.436,0.482,0.499,0.524,0.524,0.524,0.563,0.54,0.54,0.591,0.625,0.639,0.916,0.625,0.625,0.625,0.656,0.686,0.686,5.009,5.009,5.009,5.009,5.009,4.427,4.947,3.928,1.052,4.22,4.22,4.22,3.833,3.833,3.833,3.833,3.833,3.833,3.833,2.359,2.445,2.435,2.626,2.422,1.798,1.88,10.699
Point_118,9.04,0.827,0.87,1.004,0.962,0.981,1.038,1.039,1.077,1.108,1.12,1.205,1.279,1.343,1.395,1.435,1.524,1.57,1.594,1.617,1.931,1.931,2.005,3.188,3.559,3.155,4.681,3.925,3.385,3.559,3.559,2.07,3.834,3.925,3.925,3.563,4.311,3.925,3.297,3.925,3.064,2.844,2.844,2.201,2.201,1.979,1.968,2.033,2.027,2.033,2.083,2.102,2.102,2.201,2.416,0.375,2.499,2.522,2.522,2.419,2.553,1.524,1.94,1.878,1.785,1.785,1.737,1.559,1.541,1.541,1.522,1.4,1.413,1.382,1.337,1.389,1.374,1.396,1.4,1.584,1.358,1.375,1.457,1.295,1.216,1.178,1.178,1.146,1.207,1.333,1.281,1.276,1.259,1.287,1.268,1.268,1.219,1.171,1.186,1.125,1.143,1.134,1.064,1.126,1.04,1.008,1.022,1.022,1.126,1.126,1.126,0.923,0.923,1.016,1.01,1.025,1.059,0.0,0.0,0.0,0.0,0.028,0.085,0.106,0.115,0.121,0.133,0.149,0.168,0.195,0.195,0.312,0.224,0.273,0.306,0.349,0.965,0.349,0.395,0.376,0.98,0.98,0.33,0.33,0.33,0.33,0.273,0.39,0.39,0.433,0.433,0.433,0.433,0.433,0.479,0.496,0.521,0.521,0.521,0.56,0.537,0.537,0.588,0.622,0.636,0.913,0.622,0.622,0.622,0.653,0.683,0.683,5.006,5.006,5.006,5.006,5.006,4.424,4.944,3.925,1.049,4.217,4.217,4.217,3.83,3.83,3.83,3.83,3.83,3.83,3.83,2.356,2.442,2.432,2.623,2.419,1.795,1.877,10.696
Point_119,9.04,0.827,0.87,1.004,0.962,0.981,1.038,1.039,1.077,1.108,1.12,1.205,1.279,1.343,1.395,1.435,1.524,1.57,1.594,1.617,1.931,1.931,2.005,3.188,3.559,3.155,4.681,3.925,3.385,3.559,3.559,2.07,3.834,3.925,3.925,3.563,4.311,3.925,3.297,3.925,3.064,2.844,2.844,2.201,2.201,1.979,1.968,2.033,2.027,2.033,2.083,2.102,2.102,2.201,2.416,0.375,2.499,2.522,2.522,2.419,2.553,1.524,1.94,1.878,1.785,1.785,1.737,1.559,1.541,1.541,1.522,1.4,1.413,1.382,1.337,1.389,1.374,1.396,1.4,1.584,1.358,1.375,1.457,1.295,1.216,1.178,1.178,1.146,1.207,1.333,1.281,1.276,1.259,1.287,1.268,1.268,1.219,1.171,1.186,1.125,1.143,1.134,1.064,1.126,1.04,1.008,1.022,1.022,1.126,1.126,1.126,0.923,0.923,1.016,1.01,1.025,1.059,0.0,0.0,0.0,0.0,0.028,0.085,0.106,0.115,0.121,0.133,0.149,0.168,0.195,0.195,0.312,0.224,0.273,0.306,0.349,0.965,0.349,0.395,0.376,0.98,0.98,0.33,0.33,0.33,0.33,0.273,0.39,0.39,0.433,0.433,0.433,0.433,0.433,0.479,0.496,0.521,0.521,0.521,0.56,0.537,0.537,0.588,0.622,0.636,0.913,0.622,0.622,0.622,0.653,0.683,0.683,5.006,5.006,5.006,5.006,5.006,4.424,4.944,3.925,1.049,4.217,4.217,4.217,3.83,3.83,3.83,3.83,3.83,3.83,3.83,2.356,2.442,2.432,2.623,2.419,1.795,1.877,10.696
Point_120,9.04,0.827,0.87,1.004,0.962,0.981,1.038,1.039,1.077,1.108,1.12,1.205,1.279,1.343,1.395,1.435,1.524,1.57,1.594,1.617,1.931,1.931,2.005,3.188,3.559,3.155,4.681,3.925,3.385,3.559,3.559,2.07,3.834,3.925,3.925,3.563,4.311,3.925,3.297,3.925,3.064,2.844,2.844,2.201,2.201,1.979,1.968,2.033,2.027,2.033,2.083,2.102,2.102,2.201,2.416,0.375,2.499,2.522,2.522,2.419,2.553,1.524,1.94,1.878,1.785,1.785,1.737,1.559,1.541,1.541,1.522,1.4,1.413,1.382,1.337,1.389,1.374,1.396,1.4,1.584,1.358,1.375,1.457,1.295,1.216,1.178,1.178,1.146,1.207,1.333,1.281,1.276,1.259,1.287,1.268,1.268,1.219,1.171,1.186,1.125,1.143,1.134,1.064,1.126,1.04,1.008,1.022,1.022,1.126,1.126,1.126,0.923,0.923,1.016,1.01,1.025,1.059,0.0,0.0,0.0,0.0,0.028,0.085,0.106,0.115,0.121,0.133,0.149,0.168,0.195,0.195,0.312,0.224,0.273,0.306,0.349,0.965,0.349,0.395,0.376,0.98,0.98,0.33,0.33,0.33,0.33,0.273,0.39,0.39,0.433,0.433,0.433,0.433,0.433,0.479,0.496,0.521,0.521,0.521,0.56,0.537,0.537,0.588,0.622,0.636,0.913,0.622,0.622,0.622,0.653,0.683,0.683,5.006,5.006,5.006,5.006,5.006,4.424,4.944,3.925,1.049,4.217,4.217,4.217,3.83,3.83,3.83,3.83,3.83,3.83,3.83,2.356,2.442,2.432,2.623,2.419,1.795,1.877,10.696
Point_121,9.04,0.827,0.87,1.004,0.962,0.981,1.038,1.039,1.077,1.108,1.12,1.205,1.279,1.343,1.395,1.435,1.524,1.57,1.594,1.617,1.931,1.931,2.005,3.188,3.559,3.155,4.681,3.925,3.385,3.559,3.559,2.07,3.834,3.925,3.925,3.563,4.311,3.925,3.297,3.925,3.064,2.844,2.844,2.201,2.201,1.979,1.968,2.033,2.027,2.033,2.083,2.102,2.102,2.201,2.416,0.375,2.499,2.522,2.522,2.419,2.553,1.524,1.94,1.878,1.785,1.785,1.737,1.559,1.541,1.541,1.522,1.4,1.413,1.382,1.337,1.389,1.374,1.396,1.4,1.584,1.358,1.375,1.457,1.295,1.216,1.178,1.178,1.146,1.207,1.333,1.281,1.276,1.259,1.287,1.268,1.268,1.219,1.171,1.186,1.125,1.143,1.134,1.064,1.126,1.04,1.008,1.022,1.022,1.126,1.126,1.126,0.923,0.923,1.016,1.01,1.025,1.059,0.0,0.0,0.0,0.0,0.028,0.085,0.106,0.115,0.121,0.133,0.149,0.168,0.195,0.195,0.312,0.224,0.273,0.306,0.349,0.965,0.349,0.395,0.376,0.98,0.98,0.33,0.33,0.33,0.33,0.273,0.39,0.39,0.433,0.433,0.433,0.433,0.433,0.479,0.496,0.521,0.521,0.521,0.56,0.537,0.537,0.588,0.622,0.636,0.913,0.622,0.622,0.622,0.653,0.683,0.683,5.006,5.006,5.006,5.006,5.006,4.424,4.944,3.925,1.049,4.217,4.217,4.217,3.83,3.83,3.83,3.83,3.83,3.83,3.83,2.356,2.442,2.432,2.623,2.419,1.795,1.877,10.696
Point_122,9.011,0.798,0.842,0.975,0.933,0.953,1.01,1.01,1.048,1.079,1.092,1.176,1.251,1.315,1.367,1.407,1.496,1.541,1.565,1.589,1.902,1.902,1.976,3.16,3.531,3.126,4.653,3.897,3.356,3.531,3.531,2.041,3.806,3.897,3.897,3.534,4.283,3.897,3.269,3.897,3.036,2.816,2.816,2.173,2.173,1.951,1.94,2.005,1.999,2.005,2.055,2.074,2.074,2.173,2.387,0.346,2.471,2.494,2.494,2.39,2.525,1.496,1.911,1.85,1.756,1.756,1.709,1.53,1.513,1.513,1.493,1.371,1.385,1.353,1.308,1.36,1.345,1.368,1.372,1.556,1.33,1.346,1.428,1.267,1.188,1.149,1.149,1.118,1.179,1.305,1.253,1.248,1.23,1.258,1.24,1.24,1.19,1.143,1.158,1.097,1.115,1.105,1.035,1.098,1.012,0.979,0.993,0.993,1.098,1.098,1.098,0.895,0.895,0.988,0.981,0.997,1.03,1.033,1.033,1.033,1.033,0.0,0.057,0.077,0.086,0.092,0.104,0.121,0.139,0.166,0.166,0.284,0.196,0.244,0.277,0.32,0.937,0.321,0.367,0.348,0.952,0.952,0.302,0.302,0.302,0.302,0.244,0.362,0.362,0.404,0.404,0.404,0.404,0.404,0.451,0.467,0.493,0.493,0.493,0.532,0.509,0.509,0.559,0.594,0.608,0.885,0.594,0.594,0.594,0.625,0.654,0.654,4.977,4.977,4.977,4.977,4.977,4.396,4.916,3.897,1.021,4.189,4.189,4.189,3.802,3.802,3.802,3.802,3.802,3.802,3.802,2.328,2.413,2.403,2.595,2.39,1.766,1.849,10.667
Point_123,8.996,0.783,0.826,0.96,0.918,0.937,0.994,0.995,1.033,1.064,1.076,1.161,1.235,1.299,1.351,1.391,1.48,1.526,1.55,1.573,1.887,1.887,1.961,3.144,3.515,3.111,4.637,3.881,3.341,3.515,3.515,2.026,3.79,3.881,3.881,3.519,4.267,3.881,3.253,3.881,3.02,2.8,2.8,2.157,2.157,1.935,1.924,1.989,1.983,1.989,2.039,2.058,2.058,2.157,2.372,0.331,2.455,2.478,2.478,2.375,2.509,1.48,1.896,1.834,1.741,1.741,1.693,1.515,1.497,1.497,1.478,1.356,1.369,1.338,1.293,1.345,1.33,1.352,1.356,1.54,1.314,1.331,1.413,1.251,1.172,1.134,1.134,1.102,1.163,1.289,1.237,1.232,1.215,1.243,1.224,1.224,1.175,1.127,1.142,1.081,1.099,1.09,1.02,1.082,0.996,0.964,0.978,0.978,1.082,1.082,1.082,0.879,0.879,0.972,0.966,0.981,1.015,1.018,1.018,1.018,1.018,1.046,0.0,0.062,0.071,0.077,0.089,0.105,0.124,0.151,0.151,0.268,0.18,0.229,0.262,0.305,0.921,0.305,0.351,0.332,0.936,0.936,0.286,0.286,0.286,0.286,0.229,0.346,0.346,0.389,0.389,0.389,0.389,0.389,0.435,0.452,0.477,0.477,0.477,0.516,0.493,0.493,0.544,0.578,0.592,0.869,0.578,0.578,0.578,0.609,0.639,0.639,4.962,4.962,4.962,4.962,4.962,4.38,4.9,3.881,1.005,4.173,4.173,4.173,3.786,3.786,3.786,3.786,3.786,3.786,3.786,2.312,2.398,2.388,2.579,2.375,1.751,1.833,10.652
